HomeTeam,AwayTeam,FTR,HomeGoals,AwayGoals,StandingDiff,HomeWins,AwayWins,AvgHomeGoals,AvgAwayGoals,AvgHomeShots,AvgAwayShots,AvgHomeShotsOnTarget,AvgAwayShotsOnTarget,AvgHomeCorners,AvgAwayCorners,AvgHomeGoalsConceded,AvgAwayGoalsConceded,AvgHomeShotsConceded,AvgAwayShotsConceded,Year,Day
0,32,2,3,0,-7,80.0,40.0,1.8,1.2,16.0,9.6,8.8,5.8,8.2,5.4,0.8,1.6,7.8,12.2,2011,5
1,22,2,3,2,-9,40.0,20.0,1.4,1.0,10.6,11.6,4.6,6.0,5.6,4.8,0.8,1.6,11.2,16.6,2011,5
2,9,0,0,1,13,20.0,40.0,1.2,1.6,12.8,18.2,6.2,9.8,6.2,6.8,2.4,1.2,14.8,10.8,2011,5
17,29,1,0,0,-12,40.0,0.0,1.6,0.8,16.2,10.2,8.4,6.4,8.6,6.4,1.0,2.8,11.0,18.8,2011,5
19,28,2,1,0,-9,80.0,20.0,3.4,1.0,18.6,13.0,12.0,6.8,7.0,4.8,1.8,1.0,18.2,14.4,2011,5
23,18,0,2,3,15,20.0,80.0,0.6,4.0,12.8,19.0,6.0,11.2,5.0,6.2,1.2,1.2,10.6,10.4,2011,5
3,27,2,5,0,1,0.0,20.0,0.8,0.6,12.4,9.4,8.4,3.8,4.8,3.6,3.4,2.0,16.0,10.2,2011,6
12,30,0,1,3,3,20.0,60.0,2.0,1.6,14.8,14.2,9.8,9.0,5.6,5.8,1.2,1.4,12.6,14.6,2011,6
35,34,2,3,1,1,20.0,0.0,1.0,0.2,17.0,10.8,8.8,5.4,6.6,6.4,1.8,1.8,13.6,16.2,2011,6
11,35,2,2,1,-10,20.0,20.0,1.0,0.8,15.6,9.8,8.4,4.8,4.6,6.2,1.4,1.6,8.4,16.0,2011,19
18,21,2,3,1,-9,100.0,60.0,3.2,1.4,20.0,11.4,11.2,6.8,6.4,5.2,0.4,0.6,8.2,14.8,2011,19
