Season,Pos,Team,Pld,W,D,L,GF,GA,GD,Pts,Qualification or relegation
1993-94,1,Newcastle,42,23,16,3,69,47,22,85,Champions
1993-94,2,Man United,42,25,10,7,73,54,19,85,Qualification for the Champions League
1993-94,3,Blackburn,42,18,19,5,63,49,14,73,Qualification for the Champions League
1993-94,4,Liverpool,42,17,20,5,60,48,12,71,Qualification for the Champions League
1993-94,5,QPR,42,19,11,12,64,56,8,68,Qualification for the Europa League
1993-94,6,Arsenal,42,14,24,4,58,47,11,66,Not Applicable
1993-94,7,Tottenham,42,16,15,11,58,53,5,63,Not Applicable
1993-94,8,Leeds,42,13,22,7,57,51,6,61,Not Applicable
1993-94,9,Norwich,42,14,19,9,57,52,5,61,Not Applicable
1993-94,10,Sheffield Weds,42,14,17,11,58,55,3,59,Not Applicable
1993-94,11,Aston Villa,42,11,24,7,53,49,4,57,Not Applicable
1993-94,12,Coventry,42,11,20,11,55,55,0,53,Not Applicable
1993-94,13,Wimbledon,42,10,20,12,56,58,-2,50,Not Applicable
1993-94,14,West Ham,42,10,17,15,55,60,-5,47,Not Applicable
1993-94,15,Chelsea,42,11,14,17,54,59,-5,47,Not Applicable
1993-94,16,Everton,42,9,18,15,52,58,-6,45,Not Applicable
1993-94,17,Southampton,42,10,13,19,53,62,-9,43,Not Applicable
1993-94,18,Man City,42,8,18,16,50,58,-8,42,Relegation
1993-94,19,Ipswich,42,6,22,14,50,58,-8,40,Relegation
1993-94,20,Oldham,42,6,15,21,50,67,-17,33,Relegation
1993-94,21,Sheffield United,42,4,13,25,48,69,-21,25,Relegation
1993-94,22,Swindon,42,3,13,26,52,80,-28,22,Relegation
1994-95,1,Liverpool,42,29,9,4,72,47,25,96,Champions
1994-95,2,Blackburn,42,30,5,7,75,52,23,95,Qualification for the Champions League
1994-95,3,Newcastle,42,28,9,5,73,48,25,93,Qualification for the Champions League
1994-95,4,Man United,42,27,11,4,74,50,24,92,Qualification for the Champions League
1994-95,5,Nott'm Forest,42,18,18,6,62,50,12,72,Qualification for the Europa League
1994-95,6,Leeds,42,15,21,6,58,46,12,66,Not Applicable
1994-95,7,Chelsea,42,16,15,11,58,54,4,63,Not Applicable
1994-95,8,Tottenham,42,16,14,12,59,54,5,62,Not Applicable
1994-95,9,QPR,42,17,7,18,58,59,-1,58,Not Applicable
1994-95,10,Arsenal,42,14,14,14,58,56,2,56,Not Applicable
1994-95,11,Southampton,42,12,14,16,55,59,-4,50,Not Applicable
1994-95,12,Man City,42,11,14,17,54,60,-6,47,Not Applicable
1994-95,13,Sheffield Weds,42,10,16,16,53,58,-5,46,Not Applicable
1994-95,14,Norwich,42,8,21,13,49,55,-6,45,Not Applicable
1994-95,15,Aston Villa,42,10,15,17,54,61,-7,45,Not Applicable
1994-95,16,Wimbledon,42,11,9,22,55,66,-11,42,Not Applicable
1994-95,17,West Ham,42,7,19,16,51,60,-9,40,Not Applicable
1994-95,18,Crystal Palace,42,8,16,18,50,60,-10,40,Relegation
1994-95,19,Everton,42,6,17,19,52,65,-13,35,Relegation
1994-95,20,Coventry,42,6,17,19,50,63,-13,35,Relegation
1994-95,21,Leicester,42,6,11,25,52,71,-19,29,Relegation
1994-95,22,Ipswich,42,4,14,24,47,75,-28,26,Relegation
1995-96,1,Man United,38,29,6,3,74,38,36,93,Champions
1995-96,2,Newcastle,38,26,10,2,62,38,24,88,Qualification for the Champions League
1995-96,3,Liverpool,38,27,6,5,67,43,24,87,Qualification for the Champions League
1995-96,4,Blackburn,38,23,10,5,64,44,20,79,Qualification for the Champions League
1995-96,5,Nott'm Forest,38,19,13,6,62,45,17,70,Qualification for the Europa League
1995-96,6,Tottenham,38,16,15,7,54,45,9,63,Not Applicable
1995-96,7,Leeds,38,17,10,11,55,48,7,61,Not Applicable
1995-96,8,Arsenal,38,13,18,7,52,46,6,57,Not Applicable
1995-96,9,Aston Villa,38,12,17,9,51,48,3,53,Not Applicable
1995-96,10,Chelsea,38,10,15,13,49,53,-4,45,Not Applicable
1995-96,11,West Ham,38,10,13,15,48,54,-6,43,Not Applicable
1995-96,12,Everton,38,10,13,15,47,53,-6,43,Not Applicable
1995-96,13,Sheffield Weds,38,8,13,17,46,56,-10,37,Not Applicable
1995-96,14,QPR,38,7,15,16,44,54,-10,36,Not Applicable
1995-96,15,Southampton,38,7,14,17,46,57,-11,35,Not Applicable
1995-96,16,Middlesbrough,38,5,19,14,43,52,-9,34,Not Applicable
1995-96,17,Coventry,38,8,8,22,44,61,-17,32,Not Applicable
1995-96,18,Wimbledon,38,5,7,26,43,66,-23,22,Relegation
1995-96,19,Man City,38,3,13,22,39,63,-24,22,Relegation
1995-96,20,Bolton,38,3,9,26,43,69,-26,18,Relegation
1996-97,1,Man United,38,27,10,1,67,38,29,91,Champions
1996-97,2,Liverpool,38,26,11,1,64,37,27,89,Qualification for the Champions League
1996-97,3,Newcastle,38,20,14,4,58,41,17,74,Qualification for the Champions League
1996-97,4,Arsenal,38,18,19,1,56,39,17,73,Qualification for the Champions League
1996-97,5,Aston Villa,38,15,19,4,53,42,11,64,Qualification for the Europa League
1996-97,6,Blackburn,38,14,17,7,51,44,7,59,Not Applicable
1996-97,7,Everton,38,13,18,7,51,45,6,57,Not Applicable
1996-97,8,Chelsea,38,11,22,5,49,43,6,55,Not Applicable
1996-97,9,Tottenham,38,13,15,10,51,48,3,54,Not Applicable
1996-97,10,Sheffield Weds,38,10,16,12,48,50,-2,46,Not Applicable
1996-97,11,Wimbledon,38,9,18,11,47,49,-2,45,Not Applicable
1996-97,12,Nott'm Forest,38,7,14,17,45,56,-11,35,Not Applicable
1996-97,13,West Ham,38,5,18,15,43,53,-10,33,Not Applicable
1996-97,14,Middlesbrough,38,5,17,16,43,54,-11,32,Not Applicable
1996-97,15,Southampton,38,5,17,16,42,54,-12,32,Not Applicable
1996-97,16,Derby,38,5,16,17,43,56,-13,31,Not Applicable
1996-97,17,Sunderland,38,5,15,18,43,56,-13,30,Not Applicable
1996-97,18,Leicester,38,4,17,17,42,55,-13,29,Relegation
1996-97,19,Leeds,38,2,19,17,38,56,-18,25,Relegation
1996-97,20,Coventry,38,3,14,21,41,59,-18,23,Relegation
1997-98,1,Man United,38,27,10,1,69,38,31,91,Champions
1997-98,2,Arsenal,38,27,10,1,66,36,30,91,Qualification for the Champions League
1997-98,3,Liverpool,38,19,16,3,58,41,17,73,Qualification for the Champions League
1997-98,4,Blackburn,38,19,14,5,57,43,14,71,Qualification for the Champions League
1997-98,5,Chelsea,38,17,17,4,56,42,14,68,Qualification for the Europa League
1997-98,6,Newcastle,38,16,18,4,53,40,13,66,Not Applicable
1997-98,7,Aston Villa,38,12,17,9,50,47,3,53,Not Applicable
1997-98,8,Wimbledon,38,10,20,8,49,46,3,50,Not Applicable
1997-98,9,Derby,38,11,17,10,50,49,1,50,Not Applicable
1997-98,10,Leicester,38,10,19,9,48,47,1,49,Not Applicable
1997-98,11,Leeds,38,9,16,13,46,49,-3,43,Not Applicable
1997-98,12,West Ham,38,6,20,12,45,51,-6,38,Not Applicable
1997-98,13,Sheffield Weds,38,9,10,19,47,58,-11,37,Not Applicable
1997-98,14,Southampton,38,5,21,12,44,51,-7,36,Not Applicable
1997-98,15,Coventry,38,5,20,13,43,51,-8,35,Not Applicable
1997-98,16,Everton,38,5,17,16,40,54,-14,32,Not Applicable
1997-98,17,Tottenham,38,4,17,17,42,56,-14,29,Not Applicable
1997-98,18,Crystal Palace,38,3,17,18,42,59,-17,26,Relegation
1997-98,19,Bolton,38,3,16,19,41,57,-16,25,Relegation
1997-98,20,Barnsley,38,3,8,27,42,73,-31,17,Relegation
1998-99,1,Man United,38,31,6,1,73,36,37,99,Champions
1998-99,2,Arsenal,38,22,14,2,62,38,24,80,Qualification for the Champions League
1998-99,3,Chelsea,38,20,17,1,58,39,19,77,Qualification for the Champions League
1998-99,4,Liverpool,38,17,19,2,55,40,15,70,Qualification for the Champions League
1998-99,5,Leeds,38,16,17,5,54,43,11,65,Qualification for the Europa League
1998-99,6,Aston Villa,38,12,20,6,49,44,5,56,Not Applicable
1998-99,7,Leicester,38,11,19,8,49,46,3,52,Not Applicable
1998-99,8,Blackburn,38,10,18,10,48,48,0,48,Not Applicable
1998-99,9,Derby,38,8,23,7,43,44,-1,47,Not Applicable
1998-99,10,Newcastle,38,9,18,11,46,49,-3,45,Not Applicable
1998-99,11,Wimbledon,38,9,16,13,47,52,-5,43,Not Applicable
1998-99,12,Sheffield Weds,38,8,17,13,47,52,-5,41,Not Applicable
1998-99,13,Middlesbrough,38,10,11,17,49,56,-7,41,Not Applicable
1998-99,14,Everton,38,7,16,15,44,53,-9,37,Not Applicable
1998-99,15,Coventry,38,6,18,14,44,52,-8,36,Not Applicable
1998-99,16,Tottenham,38,6,18,14,43,52,-9,36,Not Applicable
1998-99,17,West Ham,38,5,20,13,42,50,-8,35,Not Applicable
1998-99,18,Charlton,38,3,21,14,41,53,-12,30,Relegation
1998-99,19,Southampton,38,1,16,21,38,60,-22,19,Relegation
1998-99,20,Nott'm Forest,38,1,12,25,41,66,-25,15,Relegation
1999-00,1,Man United,38,31,6,1,74,37,37,99,Champions
1999-00,2,Arsenal,38,30,7,1,69,36,33,97,Qualification for the Champions League
1999-00,3,Chelsea,38,21,14,3,58,38,20,77,Qualification for the Champions League
1999-00,4,Leeds,38,20,15,3,59,42,17,75,Qualification for the Champions League
1999-00,5,Liverpool,38,17,16,5,56,44,12,67,Qualification for the Europa League
1999-00,6,Tottenham,38,15,15,8,53,45,8,60,Not Applicable
1999-00,7,West Ham,38,10,22,6,45,44,1,52,Not Applicable
1999-00,8,Newcastle,38,11,18,9,49,49,0,51,Not Applicable
1999-00,9,Sunderland,38,11,15,12,48,49,-1,48,Not Applicable
1999-00,10,Everton,38,10,17,11,47,46,1,47,Not Applicable
1999-00,11,Aston Villa,38,8,22,8,46,46,0,46,Not Applicable
1999-00,12,Leicester,38,9,16,13,49,53,-4,43,Not Applicable
1999-00,13,Derby,38,7,18,13,44,50,-6,39,Not Applicable
1999-00,14,Coventry,38,8,15,15,47,54,-7,39,Not Applicable
1999-00,15,Middlesbrough,38,8,14,16,46,54,-8,38,Not Applicable
1999-00,16,Sheffield Weds,38,4,16,18,41,57,-16,28,Not Applicable
1999-00,17,Southampton,38,4,12,22,41,61,-20,24,Not Applicable
1999-00,18,Wimbledon,38,4,12,22,39,61,-22,24,Relegation
1999-00,19,Bradford,38,3,12,23,41,61,-20,21,Relegation
1999-00,20,Watford,38,4,8,26,43,68,-25,20,Relegation
2000-01,1,Man United,38,31,6,1,77,36,41,99,Champions
2000-01,2,Arsenal,38,25,11,2,64,40,24,86,Qualification for the Champions League
2000-01,3,Chelsea,38,21,13,4,60,42,18,76,Qualification for the Champions League
2000-01,4,Liverpool,38,21,13,4,59,42,17,76,Qualification for the Champions League
2000-01,5,Leeds,38,14,17,7,52,45,7,59,Qualification for the Europa League
2000-01,6,Aston Villa,38,12,22,4,50,42,8,58,Not Applicable
